Channel_ID,Data_Source,Total_Bubbles_Count,Mean_Length_um,Std_Dev_um,Min_Length_um,25th_Percentile_um,Median_Length_um,75th_Percentile_um,Max_Length_um
Channel_01,AI Predicted,11.0,4603.75,391.15,3832.5,4446.01,4539.16,4803.54,5206.83
Channel_01,Manual GT,12.0,4419.25,1131.41,1015.76,4570.9,4655.55,4951.81,5290.4
Channel_02,AI Predicted,12.0,3829.9,273.1,3229.52,3734.59,3831.3,4018.14,4245.52
Channel_02,Manual GT,14.0,3403.99,1097.99,846.46,3470.5,3745.6,3999.54,4232.32
Channel_03,AI Predicted,12.0,4105.7,489.02,3153.04,3836.52,4107.98,4315.69,5018.29
Channel_03,Manual GT,12.0,4140.62,485.87,3258.89,3861.99,4168.84,4359.29,5078.78
Channel_04,AI Predicted,11.0,4489.05,312.34,4017.54,4321.18,4484.86,4562.53,5044.95
Channel_04,Manual GT,12.0,4567.38,294.59,4063.03,4433.35,4528.58,4676.72,5036.46
Channel_05,AI Predicted,10.0,4684.4,570.47,3736.22,4518.42,4812.83,4917.61,5648.48
Channel_05,Manual GT,12.0,4666.13,511.43,3682.12,4422.77,4803.68,4867.17,5544.34
Channel_06,AI Predicted,8.0,4983.39,639.77,4414.5,4495.95,4897.07,5131.76,6365.91
Channel_06,Manual GT,10.0,5269.24,693.22,4528.58,4793.1,5184.59,5364.46,6517.77
Channel_07,AI Predicted,6.0,4171.2,415.8,3534.14,3928.61,4240.88,4498.81,4601.96
Channel_07,Manual GT,12.0,4694.35,730.04,3597.47,4285.22,4697.87,4867.16,6390.8
Channel_08,AI Predicted,8.0,4639.64,668.67,3381.22,4374.62,4655.53,4966.0,5683.44
Channel_08,Manual GT,12.0,4676.71,736.72,3470.5,4348.71,4719.04,5068.2,5755.95
Channel_09,AI Predicted,6.0,3981.44,245.8,3587.92,3923.54,3977.87,4069.9,4338.97
Channel_09,Manual GT,12.0,4154.73,249.3,3555.15,4052.45,4168.84,4295.8,4486.26
Channel_10,AI Predicted,2.0,5467.93,532.59,5091.33,5279.63,5467.93,5656.23,5844.53
Channel_10,Manual GT,9.0,6075.73,657.75,5078.78,5840.6,6136.86,6475.45,7152.62
Channel_11,AI Predicted,2.0,5136.5,1318.21,4204.38,4670.44,5136.5,5602.55,6068.61
Channel_11,Manual GT,11.0,5367.35,851.91,4147.67,4570.9,5840.6,6031.06,6390.8
Channel_12,AI Predicted,2.0,4574.7,859.03,3967.28,4270.99,4574.7,4878.42,5182.13
Channel_12,Manual GT,9.0,5887.63,2460.8,4020.7,4359.29,4909.49,5417.37,10453.83
Channel_13,AI Predicted,5.0,4569.97,436.52,3982.84,4395.72,4561.26,4742.25,5167.76
Channel_13,Manual GT,12.0,4563.85,415.01,3978.38,4200.58,4592.07,4761.35,5248.08
Channel_14,AI Predicted,2.0,5315.3,510.47,4954.34,5134.82,5315.3,5495.77,5676.25
Channel_14,Manual GT,10.0,5912.55,1549.03,4401.61,5015.3,5607.82,6041.64,9945.95
Channel_15,AI Predicted,2.0,3613.04,493.41,3264.15,3438.6,3613.04,3787.49,3961.94
Channel_15,Manual GT,5.0,4697.87,1606.61,3343.53,3385.85,4063.03,5671.31,7025.65
Channel_16,AI Predicted,3.0,5193.38,551.67,4558.22,5013.57,5468.92,5510.96,5553.01
Channel_16,Manual GT,11.0,5702.09,998.16,4486.26,4951.82,5544.34,6094.54,7660.5
Channel_17,AI Predicted,1.0,4761.76,,4761.76,4761.76,4761.76,4761.76,4761.76
Channel_17,Manual GT,9.0,4947.11,330.86,4274.64,4867.17,4994.14,5078.78,5375.04
